DISTRICT,CNTYNAME,COUNTY,DAD_POST,DFLALTED,DFLCHART,DISTNAME,D_RATING,OUTCOME,REGION,asvab_status
"'019909","BOWIE","'019","0","N","N","SIMMS ISD","A","Meets Requirements","'08"," "
"'019910","BOWIE","'019"," ","N","N","MALTA ISD","B","Meets Requirements","'08"," "
"'019911","BOWIE","'019"," ","N","N","RED LICK ISD","A","Meets Requirements","'08"," "
"'019912","BOWIE","'019","0","N","N","PLEASANT GROVE ISD","A","Meets Requirements","'08"," "
"'019913","BOWIE","'019"," ","N","N","HUBBARD ISD","B","Meets Requirements","'08"," "
"'019914","BOWIE","'019"," ","N","N","LEARY ISD","C","Meets Requirements","'08"," "
"'020901","BRAZORIA","'020","0","N","N","ALVIN ISD","B","Meets Requirements","'04"," "
"'020902","BRAZORIA","'020","1","N","N","ANGLETON ISD","A","Needs Assistance","'04"," "
"'020904","BRAZORIA","'020","0","N","N","DANBURY ISD","B","Meets Requirements","'04"," "
"'020905","BRAZORIA","'020","1","N","N","BRAZOSPORT ISD","B","Needs Assistance","'04"," "
"'020906","BRAZORIA","'020","0","N","N","SWEENY ISD","B","Meets Requirements","'04"," "
"'020907","BRAZORIA","'020","0","N","N","COLUMBIA-BRAZORIA ISD","B","Needs Assistance","'04"," "
"'020908","BRAZORIA","'020","0","N","N","PEARLAND ISD","A","Meets Requirements","'04"," "
"'020910","BRAZORIA","'020"," ","N","N","DAMON ISD","B","Needs Assistance","'04"," "
"'021803","BRAZOS","'021"," ","N","Y","BRAZOS SCHOOL FOR INQUIRY & CREATIVITY","C","Meets Requirements","'06"," "
"'021805","BRAZOS","'021","0","N","Y","ARROW ACADEMY","A","Meets Requirements","'06"," "
"'021901","BRAZOS","'021","0","N","N","COLLEGE STATION ISD","B","Needs Assistance","'06"," "
"'021902","BRAZOS","'021","0","N","N","BRYAN ISD","B","Needs Assistance","'06"," "
"'022004","BREWSTER","'022"," ","N","N","TERLINGUA CSD","C","Meets Requirements","'18"," "
"'022901","BREWSTER","'022","0","N","N","ALPINE ISD","B","Meets Requirements","'18"," "
"'022902","BREWSTER","'022"," ","N","N","MARATHON ISD","A","Meets Requirements","'18"," "
"'022903","BREWSTER","'022"," ","N","N","SAN VICENTE ISD","A","Meets Requirements","'18"," "
"'023902","BRISCOE","'023"," ","N","N","SILVERTON ISD","A","Meets Requirements","'16"," "
"'024901","BROOKS","'024","0","N","N","BROOKS COUNTY ISD","B","Meets Requirements","'01"," "
"'025901","BROWN","'025","0","N","N","BANGS ISD","B","Meets Requirements","'15"," "
"'025902","BROWN","'025","0","N","N","BROWNWOOD ISD","B","Needs Assistance","'15"," "
"'025904","BROWN","'025"," ","N","N","BLANKET ISD","C","Meets Requirements","'15"," "
"'025905","BROWN","'025","0","N","N","MAY ISD","A","Meets Requirements","'15"," "
"'025906","BROWN","'025"," ","N","N","ZEPHYR ISD","B","Meets Requirements","'15"," "
"'025908","BROWN","'025","0","N","N","BROOKESMITH ISD","A","Meets Requirements","'15"," "
"'025909","BROWN","'025","0","N","N","EARLY ISD","A","Meets Requirements","'15"," "
"'026901","BURLESON","'026","0","N","N","CALDWELL ISD","A","Meets Requirements","'06"," "
"'026902","BURLESON","'026","0","N","N","SOMERVILLE ISD","B","Meets Requirements","'06"," "
"'026903","BURLESON","'026","0","N","N","SNOOK ISD","A","Meets Requirements","'06"," "
"'027903","BURNET","'027","0","N","N","BURNET CISD","B","Needs Assistance","'13"," "
"'027904","BURNET","'027","0","N","N","MARBLE FALLS ISD","B","Needs Assistance","'13"," "
"'028902","CALDWELL","'028","0","N","N","LOCKHART ISD","C","Needs Intervention","'13"," "
"'028903","CALDWELL","'028","0","N","N","LULING ISD","B","Needs Assistance","'20"," "
"'028906","CALDWELL","'028"," ","N","N","PRAIRIE LEA ISD","Not Rated: Senate Bill 1365","Meets Requirements","'13"," "
"'029901","CALHOUN","'029","0","N","N","CALHOUN COUNTY ISD","B","Needs Assistance","'03"," "
"'030901","CALLAHAN","'030","0","N","N","CROSS PLAINS ISD","A","Meets Requirements","'14"," "
"'030902","CALLAHAN","'030","0","N","N","CLYDE CISD","B","Meets Requirements","'14"," "
"'030903","CALLAHAN","'030","0","N","N","BAIRD ISD","B","Meets Requirements","'14"," "
"'030906","CALLAHAN","'030","1","N","N","EULA ISD","A","Meets Requirements","'14"," "
"'031901","CAMERON","'031","1","N","N","BROWNSVILLE ISD","A","Meets Requirements","'01"," "
"'031903","CAMERON","'031","0","N","N","HARLINGEN CISD","B","Needs Assistance","'01"," "
"'031905","CAMERON","'031","0","N","N","LA FERIA ISD","B","Meets Requirements","'01"," "
"'031906","CAMERON","'031","1","N","N","LOS FRESNOS CISD","A","Meets Requirements","'01"," "
"'031909","CAMERON","'031","0","N","N","POINT ISABEL ISD","B","Meets Requirements","'01"," "
"'031911","CAMERON","'031","0","N","N","RIO HONDO ISD","B","Needs Assistance","'01"," "
"'031912","CAMERON","'031","0","N","N","SAN BENITO CISD","B","Needs Assistance","'01"," "
"'031913","CAMERON","'031","0","N","N","SANTA MARIA ISD","B","Meets Requirements","'01"," "
"'031914","CAMERON","'031","0","N","N","SANTA ROSA ISD","B","Meets Requirements","'01"," "
"'031916","CAMERON","'031","1","N","N","SOUTH TEXAS ISD","A","Meets Requirements","'01","ASVAB Test not Offered"
"'032902","CAMP","'032","1","N","N","PITTSBURG ISD","A","Meets Requirements","'08"," "
"'033901","CARSON","'033"," ","N","N","GROOM ISD","A","Meets Requirements","'16"," "
"'033902","CARSON","'033","1","N","N","PANHANDLE ISD","A","Meets Requirements","'16"," "
"'033904","CARSON","'033","0","N","N","WHITE DEER ISD","B","Meets Requirements","'16"," "
"'034901","CASS","'034","0","N","N","ATLANTA ISD","B","Meets Requirements","'08"," "
"'034902","CASS","'034"," ","N","N","AVINGER ISD","B","Meets Requirements","'08"," "
"'034903","CASS","'034","0","N","N","HUGHES SPRINGS ISD","A","Meets Requirements","'08"," "
"'034905","CASS","'034","0","N","N","LINDEN-KILDARE CISD","B","Meets Requirements","'08"," "
"'034906","CASS","'034","0","N","N","MCLEOD ISD","A","Meets Requirements","'08"," "
"'034907","CASS","'034","1","N","N","QUEEN CITY ISD","A","Meets Requirements","'08"," "
"'034909","CASS","'034"," ","N","N","BLOOMBURG ISD","A","Meets Requirements","'08"," "
"'035901","CASTRO","'035","0","N","N","DIMMITT ISD","B","Needs Assistance","'16"," "
"'035902","CASTRO","'035"," ","N","N","HART ISD","B","Meets Requirements","'16"," "
"'035903","CASTRO","'035"," ","N","N","NAZARETH ISD","A","Meets Requirements","'16"," "
"'036901","CHAMBERS","'036","0","N","N","ANAHUAC ISD","A","Meets Requirements","'04"," "
"'036902","CHAMBERS","'036","1","N","N","BARBERS HILL ISD","A","Meets Requirements","'04"," "
"'036903","CHAMBERS","'036","0","N","N","EAST CHAMBERS ISD","B","Meets Requirements","'05"," "
"'037901","CHEROKEE","'037","0","N","N","ALTO ISD","B","Meets Requirements","'07"," "
"'037904","CHEROKEE","'037","0","N","N","JACKSONVILLE ISD","B","Needs Assistance","'07"," "
"'037907","CHEROKEE","'037","0","N","N","RUSK ISD","C","Needs Assistance","'07"," "
"'037908","CHEROKEE","'037"," ","N","N","NEW SUMMERFIELD ISD","B","Meets Requirements","'07"," "
"'037909","CHEROKEE","'037"," ","N","N","WELLS ISD","B","Meets Requirements","'07"," "
"'038901","CHILDRESS","'038","0","N","N","CHILDRESS ISD","A","Meets Requirements","'16"," "
"'039902","CLAY","'039","0","N","N","HENRIETTA ISD","B","Meets Requirements","'09"," "
"'039903","CLAY","'039","0","N","N","PETROLIA CISD","B","Meets Requirements","'09"," "
"'039904","CLAY","'039"," ","N","N","BELLEVUE ISD","C","Meets Requirements","'09"," "
"'039905","CLAY","'039"," ","N","N","MIDWAY ISD","B","Meets Requirements","'09"," "
"'040901","COCHRAN","'040"," ","N","N","MORTON ISD","Not Rated: Data Under Review","Meets Requirements","'17"," "
"'040902","COCHRAN","'040"," ","N","N","WHITEFACE CISD","B","Meets Requirements","'17"," "
"'041901","COKE","'041"," ","N","N","BRONTE ISD","A","Meets Requirements","'15"," "
"'041902","COKE","'041","0","N","N","ROBERT LEE ISD","B","Meets Requirements","'15"," "
"'042901","COLEMAN","'042","0","N","N","COLEMAN ISD","B","Meets Requirements","'15"," "
"'042903","COLEMAN","'042","1","N","N","SANTA ANNA ISD","A","Meets Requirements","'15"," "
"'042905","COLEMAN","'042"," ","N","N","PANTHER CREEK CISD","B","Meets Requirements","'15"," "
"'043801","COLLIN","'043"," ","N","Y","IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS","A","Meets Requirements","'10"," "
"'043802","COLLIN","'043"," ","N","Y","LONE STAR LANGUAGE ACADEMY","A","Meets Requirements","'10"," "
"'043901","COLLIN","'043","0","N","N","ALLEN ISD","A","Meets Requirements","'10"," "
"'043902","COLLIN","'043","0","N","N","ANNA ISD","B","Meets Requirements","'10"," "
"'043903","COLLIN","'043","0","N","N","CELINA ISD","A","Meets Requirements","'10"," "
"'043904","COLLIN","'043","0","N","N","FARMERSVILLE ISD","B","Meets Requirements","'10"," "
"'043905","COLLIN","'043","0","N","N","FRISCO ISD","A","Meets Requirements","'10"," "
"'043907","COLLIN","'043","0","N","N","MCKINNEY ISD","B","Meets Requirements","'10"," "
"'043908","COLLIN","'043","0","N","N","MELISSA ISD","A","Meets Requirements","'10"," "
"'043910","COLLIN","'043","0","N","N","PLANO ISD","B","Meets Requirements","'10"," "
"'043911","COLLIN","'043","0","N","N","PRINCETON ISD","A","Needs Assistance","'10"," "
"'043912","COLLIN","'043","0","N","N","PROSPER ISD","A","Meets Requirements","'10"," "
"'043914","COLLIN","'043"," ","N","N","WYLIE ISD","Not Rated: Data Under Review","Meets Requirements","'10"," "
"'043917","COLLIN","'043","0","N","N","BLUE RIDGE ISD","B","Meets Requirements","'10"," "
"'043918","COLLIN","'043","0","N","N","COMMUNITY ISD","B","Meets Requirements","'10"," "
"'043919","COLLIN","'043","1","N","N","LOVEJOY ISD","A","Meets Requirements","'10"," "
"'044902","COLLINGSWORTH","'044","0","N","N","WELLINGTON ISD","B","Meets Requirements","'16"," "
"'045902","COLORADO","'045","0","N","N","COLUMBUS ISD","B","Needs Assistance","'04"," "
"'045903","COLORADO","'045","0","N","N","RICE CISD","B","Needs Assistance","'03"," "
"'045905","COLORADO","'045","1","N","N","WEIMAR ISD","A","Meets Requirements","'03","ASVAB Alternative Test Offered"
"'046802","COMAL","'046"," ","Y","Y","TRINITY CHARTER SCHOOL","B","Meets Requirements","'20"," "
"'046901","COMAL","'046","0","N","N","NEW BRAUNFELS ISD","B","Meets Requirements","'20"," "
"'046902","COMAL","'046","0","N","N","COMAL ISD","A","Meets Requirements","'20"," "
"'047901","COMANCHE","'047","0","N","N","COMANCHE ISD","A","Meets Requirements","'14"," "
"'047902","COMANCHE","'047","0","N","N","DE LEON ISD","A","Meets Requirements","'14"," "
"'047903","COMANCHE","'047"," ","N","N","GUSTINE ISD","A","Meets Requirements","'14"," "
"'047905","COMANCHE","'047"," ","N","N","SIDNEY ISD","B","Meets Requirements","'14"," "
"'048901","CONCHO","'048","0","N","N","EDEN CISD","B","Meets Requirements","'15"," "
"'048903","CONCHO","'048","0","N","N","PAINT ROCK ISD","B","Meets Requirements","'15"," "
"'049901","COOKE","'049","0","N","N","GAINESVILLE ISD","B","Needs Assistance","'11"," "
"'049902","COOKE","'049","1","N","N","MUENSTER ISD","A","Meets Requirements","'11"," "
"'049903","COOKE","'049","0","N","N","VALLEY VIEW ISD","B","Meets Requirements","'11"," "
"'049905","COOKE","'049","0","N","N","CALLISBURG ISD","B","Meets Requirements","'11"," "
"'049906","COOKE","'049"," ","N","N","ERA ISD","B","Meets Requirements","'11"," "
"'049907","COOKE","'049","0","N","N","LINDSAY ISD","A","Meets Requirements","'11"," "
"'049908","COOKE","'049"," ","N","N","WALNUT BEND ISD","A","Meets Requirements","'11"," "
"'049909","COOKE","'049"," ","N","N","SIVELLS BEND ISD","C","Meets Requirements","'11"," "
"'050901","CORYELL","'050","0","N","N","EVANT ISD","Not Rated: Senate Bill 1365","Meets Requirements","'12"," "
"'050902","CORYELL","'050","0","N","N","GATESVILLE ISD","B","Meets Requirements","'12"," "
"'050904","CORYELL","'050"," ","N","N","OGLESBY ISD","B","Meets Requirements","'12"," "
"'050909","CORYELL","'050"," ","N","N","JONESBORO ISD","C","Meets Requirements","'12"," "
"'050910","CORYELL","'050","0","N","N","COPPERAS COVE ISD","B","Needs Assistance","'12"," "
"'051901","COTTLE","'051"," ","N","N","PADUCAH ISD","B","Meets Requirements","'17"," "
"'052901","CRANE","'052","0","N","N","CRANE ISD","B","Meets Requirements","'15"," "
"'053001","CROCKETT","'053","0","N","N","CROCKETT COUNTY CONSOLIDATED CSD","A","Meets Requirements","'15"," "
"'054901","CROSBY","'054","0","N","N","CROSBYTON CISD","B","Meets Requirements","'17"," "
"'054902","CROSBY","'054"," ","N","N","LORENZO ISD","B","Meets Requirements","'17"," "
"'054903","CROSBY","'054","0","N","N","RALLS ISD","B","Meets Requirements","'17"," "
"'055901","CULBERSON","'055"," ","N","N","CULBERSON COUNTY-ALLAMOORE ISD","B","Meets Requirements","'18"," "
"'056901","DALLAM","'056","0","N","N","DALHART ISD","B","Meets Requirements","'16"," "
"'056902","DALLAM","'056"," ","N","N","TEXLINE ISD","A","Meets Requirements","'16"," "
"'057802","DALLAS","'057"," ","N","Y","PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES","B","Meets Requirements","'10"," "
"'057803","DALLAS","'057","0","N","Y","UPLIFT EDUCATION","B","Meets Requirements","'10","ASVAB Test not Offered"
"'057804","DALLAS","'057"," ","Y","Y","TEXANS CAN ACADEMIES","B","Needs Assistance","'10","ASVAB Test not Offered"
"'057805","DALLAS","'057"," ","N","Y","LUMIN EDUCATION","B","Meets Requirements","'10"," "
"'057806","DALLAS","'057"," ","N","Y","ADVANTAGE ACADEMY","Not Rated: Senate Bill 1365","Needs Assistance","'10"," "
"'057807","DALLAS","'057","0","N","Y","LIFE SCHOOL","B","Needs Assistance","'10"," "
"'057808","DALLAS","'057","0","N","Y","UNIVERSAL ACADEMY","A","Meets Requirements","'10"," "
"'057809","DALLAS","'057"," ","N","Y","NOVA ACADEMY","Not Rated: Senate Bill 1365","Meets Requirements","'10"," "
"'057810","DALLAS","'057"," ","N","Y","ACADEMY OF DALLAS","C","Meets Requirements","'10"," "
"'057813","DALLAS","'057","0","N","Y","TRINITY BASIN PREPARATORY","B","Meets Requirements","'10"," "
"'057814","DALLAS","'057"," ","Y","Y","ACADEMY FOR ACADEMIC EXCELLENCE","Not Rated","Needs Assistance","'10","ASVAB Test not Offered"
"'057816","DALLAS","'057"," ","N","Y","A W BROWN LEADERSHIP ACADEMY","B","Meets Requirements","'10"," "
"'057819","DALLAS","'057"," ","N","Y","JEAN MASSIEU ACADEMY","B","Meets Requirements","'10"," "
"'057827","DALLAS","'057"," ","N","Y","NOVA ACADEMY SOUTHEAST","B","Meets Requirements","'10"," "
"'057828","DALLAS","'057"," ","Y","Y","WINFREE ACADEMY CHARTER SCHOOLS","B","Needs Assistance","'10"," "
"'057829","DALLAS","'057","0","N","Y","A+ ACADEMY","C","Needs Assistance","'10"," "
"'057830","DALLAS","'057","0","N","Y","INSPIRED VISION ACADEMY","Not Rated: Senate Bill 1365","Meets Requirements","'10"," "
"'057831","DALLAS","'057","0","N","Y","GATEWAY CHARTER ACADEMY","B","Meets Requirements","'10","ASVAB Test not Offered"
"'057833","DALLAS","'057","0","N","Y","EDUCATION CENTER INTERNATIONAL ACADEMY","C","Meets Requirements","'10"," "
"'057834","DALLAS","'057"," ","Y","Y","EVOLUTION ACADEMY CHARTER SCHOOL","Not Rated: Data Under Review","Needs Assistance","'10"," "
"'057835","DALLAS","'057","0","N","Y","GOLDEN RULE CHARTER SCHOOL","B","Meets Requirements","'10","ASVAB Test not Offered"
"'057836","DALLAS","'057"," ","N","Y","ST ANTHONY SCHOOL","A","Meets Requirements","'10"," "
